,,,,,,,
,,Xi,AVG (X^),Xi-X^,(Xi-X^)**2,,
,1,28,30,-2,4,,
,2,29,30,-1,1,,
?????,3,30,30,0,0,,
,4,31,30,1,1,,
,5,32,30,2,4,,
,,,,,10,,
,SUM,150,,,,,
,AVG,30,?????,,,,
Full,Variance,2,?????,,5,1000/5,
Sample,Variance,2.5,????? ????,Bessel (fix bias),4,1000/4,
Full,STD,1.414213562,????? ???,,,Root(200),
Sample,STD,1.58113883,????? ???,,,Root(250),
,,30,?????,??? ???? ??????,,,
,,,,"?? ??? ????, ??-",,,
,,,,????? ??? ??? ????????,,,
,,,,,,,
,1,3,5,7,9,????? 5,?????
,1,2,9,11,,????? 5.5,
,,,"????? ?? 2, 9",,,,
